path,label,source,license_status,notes
raw/positive_synthetic/tsuchinoko_candidate_forest_path_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive generated by built-in imagegen
raw/negative/negative_branch_forest_01.png,not_tsuchinoko,imagegen,approved,synthetic negative branch generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_grass_day_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_muddy_road_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive generated by built-in imagegen
raw/negative/negative_hose_grass_01.png,not_tsuchinoko,imagegen,approved,synthetic negative hose generated by built-in imagegen
raw/negative/negative_snake_path_01.png,not_tsuchinoko,imagegen,approved,synthetic negative ordinary snake generated by built-in imagegen
raw/negative/negative_snake_path_02.png,not_tsuchinoko,imagegen,approved,synthetic negative ordinary snake generated by built-in imagegen
raw/negative/negative_snake_path_03.png,not_tsuchinoko,imagegen,approved,synthetic negative ordinary snake generated by built-in imagegen
raw/negative/negative_branch_forest_02.png,not_tsuchinoko,imagegen,approved,synthetic negative branch or root generated by built-in imagegen
raw/negative/negative_branch_forest_03.png,not_tsuchinoko,imagegen,approved,synthetic negative branch or root generated by built-in imagegen
raw/negative/negative_branch_forest_04.png,not_tsuchinoko,imagegen,approved,synthetic negative branch or root generated by built-in imagegen
raw/negative/negative_hose_grass_02.png,not_tsuchinoko,imagegen,approved,synthetic negative hose generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_gravel_road_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive gravel road candidate generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_wet_leaves_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive wet leaves candidate generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_ir_night_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive infrared night candidate generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_rice_field_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive rice field candidate generated by built-in imagegen
raw/positive_synthetic/tsuchinoko_candidate_canal_edge_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive canal edge candidate generated by built-in imagegen
